year,quarter,date,avg_download_mbps,avg_upload_mbps,median_download_mbps,median_upload_mbps,avg_latency_ms,median_latency_ms,num_tiles,num_tests,num_devices,wavg_download_mbps,wavg_upload_mbps,wavg_latency_ms
2019,1,2019-Q1,6.268774909865618,4.810470747295969,4.6495,3.699,70.32120616191412,52.0,12204,102403,36609,6.766053933966779,5.852515053269924,64.0577522142906
2019,2,2019-Q2,6.963910884051533,5.507603731674812,5.198,4.195,63.50759662372279,50.0,11255,75019,29541,7.3983736386782,6.381609698876285,57.740092509897494
2019,3,2019-Q3,7.39519225925615,5.8546111157753336,5.533,4.662,66.0751406263118,52.0,11911,87792,35127,8.31409860807363,6.972804594951704,60.012484053216696
2019,4,2019-Q4,7.55776104,6.29430952,5.5895,5.0965,70.026,54.0,12500,108166,41638,8.434354621600134,7.618366834310227,66.2540816892554
2020,1,2020-Q1,7.7635025754231055,6.157272921265637,5.742,4.7495,64.30721118469462,50.0,13590,119391,46860,8.883273027280113,7.590082158621672,57.276578636580645
2020,2,2020-Q2,8.806360890167541,6.124078608901676,6.248,4.428,56.147063800981556,42.0,11818,98345,31358,10.162017347094412,7.351123137932788,49.56735980476893
2020,3,2020-Q3,10.670488675511251,7.6078449021476215,7.858,6.38,41.951330352561754,36.0,13643,104064,41548,12.163911929197415,9.139683358317956,37.58313153444035
2020,4,2020-Q4,11.818352641268943,8.290638507293584,8.4675,7.2895,41.05197564084407,34.0,14122,116218,46251,13.47221972499957,9.786479245899947,37.09860778881068
2021,1,2021-Q1,13.33798470780994,8.76292293221676,9.892,7.708,40.80805874142848,34.0,16479,141382,56231,14.71588091128998,10.197730057574514,36.4871412202402
2021,2,2021-Q2,16.349012838801713,9.455331159567963,12.618,8.43,37.59119625025474,31.0,14721,110790,45843,17.914515858832022,10.670607419442186,34.017149562234856
2021,3,2021-Q3,16.065872305643012,9.635974691208524,12.2015,8.4555,41.31006296924195,34.0,16516,125174,51774,18.333448479716235,11.104273850799688,38.28631345167527
2021,4,2021-Q4,16.911212516068716,10.040985158349889,12.621,8.837,41.573507070234896,34.0,17114,139494,58309,18.069544066411456,11.244275495720245,38.85901902590793
2022,1,2022-Q1,17.822737994644452,10.646486462362393,13.159,9.563,37.142695626301695,32.0,16805,135337,55075,19.137309228075104,11.844552686996165,34.269800571905684
2022,2,2022-Q2,19.44940514561989,11.477896166685852,13.9795,10.4725,39.56101070565212,31.0,17374,138643,57373,21.752667051347707,13.112418535375028,35.070266800343326
2022,3,2022-Q3,19.665530386423576,11.702286607040476,13.6915,10.575,41.064212819630775,32.0,17442,130879,55780,22.16748456207642,13.321288953919268,37.16782677129257
2022,4,2022-Q4,22.957745940478095,12.764549113560133,16.245,11.536,42.34355534259703,32.0,18783,156675,63670,23.034743060475506,13.528896211903623,39.22561353119515
2023,1,2023-Q1,24.113546179966043,12.643644368986983,17.334,11.329,43.70220713073005,32.0,17670,126257,54102,25.1108825807678,13.955729678354468,40.085579413418664
2023,2,2023-Q2,27.35931173944166,13.370115366261036,20.2785,11.962,40.5280959198282,31.0,16764,112098,49553,28.344276793519953,14.299189191600208,36.786865064497135
2023,3,2023-Q3,28.767731625967837,13.90073097081596,21.4845,12.375,42.053424657534244,32.0,16790,103184,48486,29.706699837184058,15.000976159094433,39.55109319274306
2023,4,2023-Q4,30.01179539070114,13.878082153299317,22.745,12.156,43.16935160236198,33.0,17443,121947,53966,30.626218348954875,14.754182694121218,38.92466399337417
2024,1,2024-Q1,31.701287455444405,13.92153288490284,24.056,12.3205,39.67425549039899,32.0,17394,113838,51415,32.52130749837488,14.830056975702314,36.68855742370737
2024,2,2024-Q2,34.02610167553039,13.65903030822897,26.42,12.095,36.98158632126723,30.0,17487,105933,50940,34.98577389482031,14.631223065522548,34.950251574108165
2024,3,2024-Q3,33.255813924938614,13.31492271717526,25.4275,11.6855,38.07225534900035,30.0,17106,97539,46392,34.18542241564913,14.36972023498293,35.77180409887327
2024,4,2024-Q4,33.16472993667242,12.857269257340242,25.298,11.175,41.06660909614278,31.0,17370,108049,49724,32.62378620810928,13.338725522679525,39.863589667650785
2025,1,2025-Q1,35.62015753298558,13.162640932801473,27.211,11.55,39.5992635777846,30.0,16295,89579,42008,35.25432034293752,13.604706080666228,38.18076781388495
2025,2,2025-Q2,35.923371454401625,13.36912685049158,27.608,11.8125,37.896937507062944,30.0,17698,94345,45382,37.70686377656473,14.121381482855478,35.443256134400336
